sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"UNC119B","Approved symbol","UNC119B","unc-119 lipid binding chaperone B","HGNC:16488","12q24.31"
"XAF1","Approved symbol","XAF1","XIAP associated factor 1","HGNC:30932","17p13.2"
"SAMD9L","Approved symbol","SAMD9L","sterile alpha motif domain containing 9 like","HGNC:1349","7q21.2"
"IFIT3","Approved symbol","IFIT3","interferon induced protein with tetratricopeptide repeats 3","HGNC:5411","10q23.31"
"IFI27","Approved symbol","IFI27","interferon alpha inducible protein 27","HGNC:5397","14q32.12"
"IFITM3","Approved symbol","IFITM3","interferon induced transmembrane protein 3","HGNC:5414","11p15.5"
"RSAD2","Approved symbol","RSAD2","radical S-adenosyl methionine domain containing 2","HGNC:30908","2p25.2"
"IFIT2","Approved symbol","IFIT2","interferon induced protein with tetratricopeptide repeats 2","HGNC:5409","10q23.31"
"OAS2","Approved symbol","OAS2","2'-5'-oligoadenylate synthetase 2","HGNC:8087","12q24.13"
"STAT1","Approved symbol","STAT1","signal transducer and activator of transcription 1","HGNC:11362","2q32.2"
"MX1","Approved symbol","MX1","MX dynamin like GTPase 1","HGNC:7532","21q22.3"
"ISG15","Approved symbol","ISG15","ISG15 ubiquitin like modifier","HGNC:4053","1p36.33"
"NCRNA00188","Previous symbol","SNHG29","small nucleolar RNA host gene 29","HGNC:28619","17p11.2"
"TRIM22","Approved symbol","TRIM22","tripartite motif containing 22","HGNC:16379","11p15.4"
"TNFSF10","Approved symbol","TNFSF10","TNF superfamily member 10","HGNC:11925","3q26"
"HERC6","Approved symbol","HERC6","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6","HGNC:26072","4q22.1"
"DDX58","Previous symbol","RIGI","RNA sensor RIG-I","HGNC:19102","9p21.1"
"IFI6","Approved symbol","IFI6","interferon alpha inducible protein 6","HGNC:4054","1p35.3"
"EIF2AK2","Approved symbol","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2","HGNC:9437","2p22.2"
"USP18","Approved symbol","USP18","ubiquitin specific peptidase 18","HGNC:12616","22q11.2"
"PARP14","Approved symbol","PARP14","poly(ADP-ribose) polymerase family member 14","HGNC:29232","3q21.1"
